Variable,VariableLabel,Value,ValueLabel
,,3,Neither likely or unlikely
,,4,Likely
,,5,Very likely
,,,
titleixfiled,Have you or anyone you know filed a Title IX complaint?,1,I have filed a Title IX complaint.
,,2,I both know someone who has and have myself filed a Title IX complaint.
,,3,I have not but I know someone who has filed a Title IX complaint.
,,4,"I have neither filed a Title IX complaint, nor know anyone who has."")"
,,,
titleixagainst,Has a Title IX complaint ever been filed against you or someone you know?,1,A Title IX complaint was filed against me.
,,2,A Title IX complaint was filed against me and someone I know.
,,3,"A Title IX complaint was filed against someone I know, but not me."
,,4,"A Title IX complaint has never been filed against me or someone I know."")"
,,,
friends,"Not counting your family, how many close friends do you have?",,
,,,
religattend,How often do you attend church or religious services?,1,Never
,,2,Less than once a year
,,3,Once or twice a year
,,4,Several times a year
,,5,Once a month
,,6,2-3 times a month
,,7,About weekly
,,8,Weekly
,,9,Several times a week
,,,
military,Are you currently a member of the armed services?,1,Yes
,,2,No
,,,
veteran,Are you a veteran of the armed services?,1,Yes
,,2,No
