ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
222,University of Southern California,University of Southern California,Yes,,4/24/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/p/C6JZhysreBQ/?igsh=NmtvenhrbDR5eHh1,,,Yes,93.0,https://www.latimes.com/california/story/2024-04-24/usc-pro-palestinian-encampment,,4/24/24,Yes,109,Red,matched_to_cfsr2025,0,,,,
223,The University of Tennessee-Knoxville,University of Tennessee,No,,,,,,,9 protestors arrested on 5-2-24,No,,,,,Not Applicable,97,Green,matched_to_cfsr2025,1,,,,reviewed_ok
224,The University of Texas at Arlington,"University of Texas, Arlington",Yes,Yes,5/2/2024,https://www.wfaa.com/article/news/education/ut-arlington-pro-palestinian-protest-police/287-7b0fd131-45ef-4938-b9a6-1e04081f54a3,,,,lecturer arrested while attempting to put up tents. But unclear if he was affiliated with the encampment. ,No,,,,,Yes,38,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
225,The University of Texas at Austin,"University of Texas, Austin",Yes,,4/24/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/thedailytexan/status/1783180239410958748,,,Yes,136.0,https://www.nytimes.com/interactive/2024/us/pro-palestinian-college-protests-encampments.html,,mult. dates in April,Yes,239,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
226,The University of Texas at Dallas,"University of Texas, Dallas",Yes,,5/1/2024,https://www.dallasnews.com/news/education/2024/05/01/ut-dallas-students-set-up-an-encampment-overnight-to-protest-war-in-gaza/,,https://www.instagram.com/p/C5_eFk5JkRJ/?igsh=NnVvczE0NDkxN3ly,,,Yes,17.0,https://www.texastribune.org/2024/05/01/ut-dallas-palestinian-protest-arrests/,Yes,5/1/24,Yes,114,Red,matched_to_cfsr2025,1,,,,reviewed_ok
227,The University of Texas at El Paso,"University of Texas, El Paso",No,,,,,,,,No,,,,,Not Applicable,37,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
228,The University of Texas at San Antonio,"University of Texas, San Antonio",No,,,https://sanantonioreport.org/students-allege-free-speech-violations-at-utsa-march-for-palestine/,4/24/2024,,,march/protest,No,,,,,No,49,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
229,University of Toledo,University of Toledo,No,,,,,,,,No,,,,,Not Applicable,31,Yellow,matched_to_cfsr2025,0,,,,
230,University of Tulsa,University of Tulsa,No,,,,,,,,No,,,,,Not Applicable,76,Yellow,matched_to_cfsr2025,0,,,,
231,University of Utah,University of Utah,Yes,,4/29/2024,https://kslnewsradio.com/2098666/u-of-u-encampment/,https://www.sltrib.com/news/education/2024/04/29/university-utah-students-join-pro/,,,,Yes,20.0,"https://utahnewsdispatch.com/2024/04/30/university-of-utah-students-organize-another-pro-palestine-protest/#:~:text=After%2019%20people%20were%20arrested,started%20as%20a%20peaceful%20protest.",,"4/29/24, 4/30",Yes,181,Yellow,matched_to_cfsr2025,0,,,,
